Category,Date,Open,High,Low,Close,Volume,SMA_10,EMA_10,Volatility,Wavelet_Trend,Wavelet_Noise,Wavelet_HighFreq,General_Index,Economic_Score,Market_Sentiment,News_Tag,Close_Next
Tech,2024-01-23,107.37218854195137,108.07306427762785,106.26274237019055,107.26285888857272,4839603,106.72962982586974,107.0394629640204,1.9291511948669315,106.72962982586974,0.5332290627029863,0.6350564093758493,4908,70.93238527759674,Positive,Regulation,104.91336251614581
Energy,2024-01-24,104.69020225852864,106.7255845204108,103.5635761100375,104.91336251614581,4655355,106.1449369379817,106.65289924622502,1.3795553034598331,106.1449369379817,-1.2315744218358873,-2.3494963724269127,4835,85.45651689412405,Positive,Merger,104.32459706709545
Health,2024-01-25,104.22427741768274,104.96758846959122,103.84646429894539,104.32459706709545,4103800,105.79635107169125,106.22957157729236,1.3520814758049653,105.79635107169125,-1.4717540045957946,-0.5887654490503564,2589,68.58544924014919,Negative,Other,105.04644224651518
Retail,2024-01-26,105.23019745178549,105.99931621920277,103.53036140449275,105.04644224651518,2338618,105.58240722919092,106.01445715351468,1.2748407270791928,105.58240722919092,-0.5359649826757362,0.7218451794197307,3951,1.7878484034818065,Neutral,Earnings,103.24445509167057
Health,2024-01-27,103.764670537993,103.69651308730258,101.72444400174638,103.24445509167057,4540863,105.34083089527307,105.51082041499757,1.4720863606127472,105.34083089527307,-2.0963758036024984,-1.8019871548446105,2955,21.623289439099125,Positive,Regulation,104.49585112836192
Energy,2024-01-28,103.51832674320278,105.7768032127136,103.87065507854533,104.49585112836192,1181142,105.11154469850528,105.32628054470017,1.3982231031971462,105.11154469850528,-0.6156935701433639,1.2513960366913466,4737,6.947998488353191,Negative,Other,103.79457374852431
Energy,2024-01-29,103.61010402900858,105.75253597887394,102.97320848250375,103.79457374852431,1586901,104.94373557885797,105.04778839994093,1.4498144042572965,104.94373557885797,-1.1491618303336537,-0.701277379837606,4586,57.038609957622675,Negative,Earnings,103.71118624893775
Tech,2024-01-30,103.81809064590828,104.91817244102451,103.29180569407735,103.71118624893775,2145283,105.00004844951904,104.80476982703127,1.3816521151993295,105.00004844951904,-1.288862200581292,-0.08338749958656422,3143,75.64776788404124,Neutral,Other,103.00777302447896
Finance,2024-01-31,102.54878497217359,103.72340119270606,101.05465097783316,103.00777302447896,1373921,104.64289024394995,104.47804313565811,1.3896440473277292,104.64289024394995,-1.6351172194709847,-0.7034132244587852,3331,11.057918706865944,Negative,Earnings,107.21232939349684
Energy,2024-02-01,108.0779142093805,108.5079642854779,105.92112423938002,107.21232939349684,2003639,104.70134293537994,104.97518609162879,1.491008942319773,104.70134293537994,2.5109864581169035,4.2045563690178795,4755,83.83378205933852,Positive,Product Launch,107.68533494402097
Health,2024-02-02,107.3676300039066,107.93117630095173,105.81624718258993,107.68533494402097,2000005,104.74359054092479,105.46794042842735,1.5752588754489913,104.74359054092479,2.9417444030961803,0.4730055505241211,3553,55.55089783954832,Neutral,Earnings,106.06991308610917
Finance,2024-02-03,106.04926674260552,107.84723124663996,105.4631419988509,106.06991308610917,1047003,104.8592455979211,105.57739000255131,1.630593374284106,104.8592455979211,1.210667488188065,-1.615421857911798,4342,68.9969012141725,Negative,Regulation,108.21500291031555
Health,2024-02-04,108.4930139587367,109.22117081187523,106.65122108432176,108.21500291031555,4718494,105.24828618224312,106.05695598578116,1.9261719404044069,105.24828618224312,2.966716728072427,2.14508982420638,3806,97.14018486086462,Negative,Other,106.2733156103735
Finance,2024-02-05,105.97767321597256,107.17201509445279,104.74159832260402,106.2733156103735,1407650,105.37097351862894,106.0962940993434,1.9508023313800373,105.37097351862894,0.9023420917445577,-1.9416872999420463,4100,8.368098824769731,Neutral,Other,107.19104280038302
Energy,2024-02-06,106.26775627648081,108.36277237729006,105.80773149664994,107.19104280038302,4060902,105.76563228950019,106.29533931771424,1.8703441080006633,105.76563228950019,1.425410510882827,0.917727190009515,2805,90.12240229777892,Neutral,Other,103.77170255262347
Finance,2024-02-07,103.5573752891652,105.02127027820227,101.84042460208987,103.77170255262347,2478441,105.69321743192636,105.8364962695159,1.937772381525883,105.69321743192636,-1.9215148793028902,-3.41934024775955,3455,12.610269598740931,Neutral,Merger,101.6153304548266
Finance,2024-02-08,102.13005073279012,101.75888206727963,100.82821978261397,101.6153304548266,4729046,105.47529310255659,105.06901157593603,2.2692157346048747,105.47529310255659,-3.8599626477299864,-2.1563720977968615,2051,39.29588066366823,Positive,Merger,102.50905292656485
Tech,2024-02-09,102.34060536317227,103.87428736901165,102.24761827938534,102.50905292656485,3805573,105.35507977031929,104.60356454877763,2.401065869562739,105.35507977031929,-2.8460268437544443,0.8937224717382435,4775,85.14386963311144,Positive,Regulation,104.48598608655567
Health,2024-02-10,104.06276893582618,104.96984944718673,103.14256836806754,104.48598608655567,2443791,105.50290107652695,104.58218664655544,2.2831026471354616,105.50290107652695,-1.0169149899712835,1.9769331599908213,2071,90.62542367378683,Negative,Product Launch,105.32872264893561
Finance,2024-02-11,105.79155875368697,106.75662791394879,103.8701030479812,105.32872264893561,2194497,105.31454040207083,104.71792046517001,2.202685603055624,105.31454040207083,0.014182246864777426,0.8427365623799403,2027,50.63716735451453,Negative,Merger,105.59742608415912
Energy,2024-02-12,105.4320386361476,107.24249567292752,104.4473049372415,105.59742608415912,4615383,105.10574951608467,104.87783057771348,2.0464016115409827,105.10574951608467,0.49167656807445326,0.2687034352235145,2468,59.410463827542515,Neutral,Earnings,105.49521869298056
Retail,2024-02-13,105.24013828615544,107.1031357080856,105.08158290671376,105.49521869298056,1770448,105.04828007677179,104.9900829623075,2.0242662178593123,105.04828007677179,0.44693861620876874,-0.10220739117856681,2763,70.81473345985572,Negative,Regulation,103.03817471224569
Finance,2024-02-14,103.11290275707735,104.14317664706147,102.02926282890698,103.03817471224569,4651948,104.5305972569648,104.63519055320533,1.7704776047306292,104.5305972569648,-1.4924225447191048,-2.4570439807348663,4933,83.27586684527142,Negative,Product Launch,102.09848629545628
Finance,2024-02-15,102.48386140026568,103.13882608007779,101.47410682231802,102.09848629545628,3936384,104.11311432547309,104.17397159725095,1.805746845447356,104.11311432547309,-2.0146280300168087,-0.9396884167894086,4959,12.151116953766616,Neutral,Earnings,101.6772087535367
Tech,2024-02-16,102.86806551940298,101.96296067621553,100.82227569720332,101.6772087535367,1791877,103.56173092078845,103.72001471657563,1.590466412992013,103.56173092078845,-1.8845221672517454,-0.42127754191957933,4594,81.00693082292277,Positive,Other,104.29145320597453
Retail,2024-02-17,104.70507125980325,105.84214550678081,103.0010160542852,104.29145320597453,4819128,103.61370598612356,103.82391262373906,1.6065021752192263,103.61370598612356,0.6777472198509713,2.6142444524378305,3424,48.127615051161676,Positive,Merger,105.47868978511146
Tech,2024-02-18,106.05860976830563,106.02150854600488,103.98826029972979,105.47868978511146,3605676,104.00004191915204,104.12478119853404,1.5354966053643084,104.00004191915204,1.4786478659594167,1.187236579136922,4248,45.0623425108169,Positive,Earnings,102.452609474386
Energy,2024-02-19,102.19962637489206,103.44600032002188,101.98816009258331,102.452609474386,4932406,103.99439757393415,103.82074997596166,1.5416776156201073,103.99439757393415,-1.5417880995481568,-3.0260803107254617,2819,42.389975199699826,Negative,Product Launch,103.60077741317558
Retail,2024-02-20,103.08784336019085,104.16932559903061,102.79012669188167,103.60077741317558,2079729,103.90587670659616,103.780754964546,1.535717239606026,103.90587670659616,-0.3050992934205823,1.1481679387895838,3489,50.92115852460426,Neutral,Regulation,103.33061285234295
Energy,2024-02-21,103.36177852715251,103.59826957834234,102.7922897103597,103.33061285234295,2840220,103.70606572693688,103.69891094414545,1.458044375588329,103.70606572693688,-0.3754528745939325,-0.27016456083262597,3675,94.50505533946036,Positive,Earnings,102.47676885173104
Health,2024-02-22,102.53035380936083,103.73588424551451,102.0795056240073,102.47676885173104,1134411,103.39400000369407,103.47670329097919,1.337207590505568,103.39400000369407,-0.917231151963037,-0.8538440006119146,2559,54.82037727921516,Negative,Regulation,104.20012142941276
Health,2024-02-23,103.66086505873047,104.30878549905857,102.63334698942109,104.20012142941276,3677678,103.26449027733729,103.60823386160348,1.162377895213908,103.26449027733729,0.935631152075473,1.7233525776817231,2378,95.31775382631392,Neutral,Other,106.76212047440467
Health,2024-02-24,106.67447320945266,108.25941094265707,104.94361508553068,106.76212047440467,1412610,103.6368848535532,104.18166779120368,1.5970640562545353,103.6368848535532,3.1252356208514698,2.5619990449919072,3918,18.029013061564058,Positive,Product Launch,109.12468071263706
Retail,2024-02-25,109.32433951349662,109.75985430315929,108.3842163412679,109.12468071263706,4461743,104.33950429527127,105.08039741328247,2.2550687318089673,104.33950429527127,4.78517641736579,2.3625602382323905,3075,72.41359788326332,Positive,Product Launch,107.94624566619179
Tech,2024-02-26,108.12644236370083,107.94651505220075,106.44368781744426,107.94624566619179,3984256,104.96640798653678,105.60146073199326,2.303588945068803,104.96640798653678,2.979837679655006,-1.1784350464452729,2078,81.22395386087472,Neutral,Merger,107.82782091448937
Retail,2024-02-27,108.0799648411815,108.85007919296382,106.03383033576054,107.82782091448937,4616666,105.32004475738827,106.00625349244709,2.454932191461289,105.32004475738827,2.507776157101091,-0.1184247517024204,3408,67.91288313348619,Negative,Product Launch,108.99034777729649
Health,2024-02-28,109.13583014236521,109.08405159435169,107.29809935623602,108.99034777729649,1296751,105.67121055660678,106.54881608969242,2.717290529794025,105.67121055660678,3.3191372206897114,1.1625268628071268,2833,60.692228022654035,Negative,Earnings,111.44143803154121
Tech,2024-02-29,111.18793370190619,111.99377714718301,111.07581125446276,111.44143803154121,1052055,106.57009341232228,107.4383837154831,3.005721187498507,106.57009341232228,4.871344619218931,2.4510902542447184,3031,56.48127810861823,Positive,Earnings,110.98308955585063
Retail,2024-03-01,110.7261392425262,112.39704253076206,109.07050579282391,110.98308955585063,2153085,107.3083246265898,108.082875686459,3.100485318921239,107.3083246265898,3.6747649292608315,-0.4583484756905847,4072,86.0930482578696,Neutral,Earnings,111.11177160252299
Retail,2024-03-02,110.51229590352605,111.23715084576672,110.35841872166407,111.11177160252299,4281195,108.08644050160781,108.63358403483426,2.9647270383220037,108.08644050160781,3.0253311009151815,0.12868204667236682,2449,82.16465971645,Negative,Other,109.39910165451093
Finance,2024-03-03,110.29148917410348,111.07777863922293,108.72062033216325,109.39910165451093,3748818,108.7786737818858,108.77276905659365,2.2253402198186674,108.7786737818858,0.6204278726251289,-1.7126699480120635,4815,12.228872118059952,Neutral,Product Launch,107.5066884063496
Retail,2024-03-04,107.51341358865925,107.51432825166677,107.38182575179404,107.5066884063496,2457082,109.10933047957947,108.54257257473108,1.637434255827897,109.10933047957947,-1.6026420732298732,-1.8924132481613327,4802,84.85876570308781,Neutral,Product Launch,109.631740051138
Energy,2024-03-05,109.51931352324057,110.1253877895418,108.65939274292823,109.631740051138,2136263,109.39629243725281,108.74060302498688,1.4169906994117232,109.39629243725281,0.2354476138851851,2.1250516447883996,3992,41.40686194404425,Positive,Earnings,112.84422010827963
Energy,2024-03-06,112.3798240675534,114.32602822058377,112.62619287699778,112.84422010827963,4472950,109.76824637681707,109.4867152219492,1.7795660752018467,109.76824637681707,3.075973731462554,3.212480057141633,3484,25.369682999581077,Neutral,Merger,113.20019986511896
Retail,2024-03-07,114.66802881628286,113.83274016457757,112.70312022326411,113.20019986511896,4542635,110.29364179670979,110.16189424798006,1.9493564017099918,110.29364179670979,2.9065580684091685,0.35597975683933214,4245,86.97685680139259,Neutral,Merger,115.70726566090302
Health,2024-03-08,115.17060164479157,115.91105043703504,115.07338041736845,115.70726566090302,3497838,111.08158627135114,111.17014359578422,2.385567698486948,111.08158627135114,4.625679389551877,2.507065795784058,3742,43.20247996337416,Neutral,Product Launch,116.93053771099828
Retail,2024-03-09,116.71611374819524,117.65100554859913,115.3128850640149,116.93053771099828,2969921,111.87560526472132,112.21748798036859,2.881949418990687,111.87560526472132,5.054932446276965,1.223272050095261,3970,80.83646901768167,Negative,Product Launch,116.14029820178803
Retail,2024-03-10,116.34821661993105,116.68108477455708,114.38932090099624,116.14029820178803,2151228,112.345491281746,112.93072620244484,3.1717830256065547,112.345491281746,3.7948069200420207,-0.7902395092102523,4484,26.34036119558445,Positive,Regulation,117.36308941280487
Tech,2024-03-11,117.663195895677,119.04851321712597,116.75815677788192,117.36308941280487,1325341,112.98349126744142,113.7366104225103,3.4927159247392083,112.98349126744142,4.379598145363445,1.2227912110168404,3550,0.3929321422217802,Positive,Product Launch,120.93916254573679
Retail,2024-03-12,121.41812857334463,121.56585838090707,119.22176630324765,120.93916254573679,2628637,113.96623036176281,115.04616535400602,4.215358037877906,113.96623036176281,6.972932183973981,3.576073132931924,2689,49.545919290294435,Neutral,Earnings,121.3675104675169
Energy,2024-03-13,122.27131472140152,122.94537541106891,119.65304859277731,121.3675104675169,1935280,115.1630712430634,116.19550082918981,4.466159077019831,115.1630712430634,6.204439224453495,0.4283479217801016,3990,10.022825664288426,Neutral,Other,124.99679777914491
Retail,2024-03-14,125.24987660687528,126.78054206876638,123.46749587837516,124.99679777914491,2568422,116.91208218034294,117.79573663827254,4.558396147868154,116.91208218034294,8.084715598801978,3.629287311628019,3401,75.43759555249096,Negative,Product Launch,120.25730757096542
Retail,2024-03-15,119.72929217098209,121.12494241011848,119.96391734293506,120.25730757096542,3299820,117.97463893232569,118.24329498967124,3.857282604978694,117.97463893232569,2.282668638639734,-4.73949020817949,2586,27.607513606941037,Positive,Product Launch,122.40111257971587
Finance,2024-03-16,122.27264001715498,124.22099886742465,121.02046688591442,122.40111257971587,2600448,118.9303281794693,118.9992618242248,3.6216434900607593,118.9303281794693,3.470784400246572,2.143805008750448,4151,44.364564660347874,Negative,Earnings,123.07520671619221
Finance,2024-03-17,123.22912290244915,123.8298428241186,121.18515858703107,123.07520671619221,2817765,119.91782886457663,119.74034271367341,3.2083361156055092,119.91782886457663,3.1573778516155784,0.6740941364763415,3829,8.703356509155425,Positive,Regulation,122.97719201526047
Energy,2024-03-18,124.01130503601338,124.90534884824069,121.61211105772615,122.97719201526047,4543244,120.64482150001236,120.32886076850741,2.9624776258347194,120.64482150001236,2.3323705152481153,-0.09801470093174203,3985,28.665924844725264,Negative,Product Launch,123.66071356833147
Health,2024-03-19,122.96181082911933,123.83929261738263,122.99747987011581,123.66071356833147,2838346,121.3178390857457,120.93465218665723,2.784014634130919,121.3178390857457,2.3428744825857706,0.683521553071003,2626,78.1490243258572,Neutral,Merger,120.18557573912969
Finance,2024-03-20,120.78686399174231,121.55961427213617,119.18441710426802,120.18557573912969,4208329,121.72236683947988,120.79845646892494,2.175502521593087,121.72236683947988,-1.536791100350186,-3.4751378292017847,4031,15.158791190231947,Negative,Merger,120.24623196345468
Finance,2024-03-21,120.33618914822789,121.23386004436853,118.95478187675256,120.24623196345468,1136559,122.01068109454484,120.69805201338488,1.664656267017439,122.01068109454484,-1.76444913109016,0.06065622432498685,4505,64.71595611269574,Neutral,Merger,121.46045710647816
Finance,2024-03-22,121.8793723740929,122.23575471738945,120.43931628902115,121.46045710647816,3133434,122.06281055061898,120.83667112122002,1.635275852386392,122.06281055061898,-0.6023534441408174,1.2142251430234836,2363,91.74258528045011,Positive,Other,124.9162451959612
Finance,2024-03-23,124.86524783764322,126.1816689534584,124.67633931249925,124.9162451959612,4371865,122.41768402346341,121.57841186208205,1.8398804089449028,122.41768402346341,2.498561172497787,3.455788089483036,4182,67.98367597577203,Positive,Other,124.3797047594139
Health,2024-03-24,123.95848844435073,125.78741894268256,123.75557667010986,124.3797047594139,4523319,122.35597472149031,122.0877378434151,1.7520165047747256,122.35597472149031,2.0237300379235847,-0.5365404365472983,2373,81.10216892922269,Neutral,Product Launch,123.26271755362752
Energy,2024-03-25,123.63815394332819,123.27144409292815,121.65792549252026,123.26271755362752,3717238,122.65651571975653,122.30137051799916,1.6034887774814,122.65651571975653,0.6062018338709976,-1.1169872057863728,4086,10.89716293039158,Positive,Product Launch,122.75920346645844
Tech,2024-03-26,123.08641898001126,123.09310964395284,121.03636737426741,122.75920346645844,2703827,122.69232480843077,122.38461287226448,1.6011481101815823,122.69232480843077,0.0668786580276759,-0.50351408716908,3987,25.073182600205445,Negative,Product Launch,125.0900077018626
Tech,2024-03-27,125.57603618473246,126.51609980313124,124.81540763643146,125.0900077018626,3042896,122.89380490699781,122.87650284128232,1.772299819055626,122.89380490699781,2.1962027948647886,2.330804235404159,4866,89.4538852240591,Neutral,Other,126.24750992118197
Retail,2024-03-28,126.24085760349266,127.58028074833838,124.34273641638453,126.24750992118197,1159876,123.22083669758997,123.48941321944588,2.0666748878702697,123.22083669758997,3.026673223591999,1.157502219319369,4094,71.51056136180893,Positive,Product Launch,125.68798951364789
Tech,2024-03-29,125.38807850198796,127.62008452390525,125.03034427795068,125.68798951364789,1665275,123.4235642921216,123.88915436384625,2.2091394103663973,123.4235642921216,2.264425221526295,-0.5595204075340803,4083,63.95538263773112,Negative,Earnings,127.2145243798746
Energy,2024-03-30,126.43513088236269,128.73659996037617,125.88989690241317,127.2145243798746,2321878,124.12645915619609,124.49376709403322,2.182477415642687,124.12645915619609,3.0880652236785124,1.5265348662267115,4142,66.37667361217,Negative,Regulation,127.90867947857069
Finance,2024-03-31,128.3183661126404,129.81022489403335,126.40502918665733,127.90867947857069,3302381,124.89270390770768,125.11466025485821,2.006837931108345,124.89270390770768,3.015975570863006,0.6941550986960863,3384,41.420055430464345,Positive,Merger,130.34596945963645
Retail,2024-04-01,130.55791420085845,131.75105046270608,128.72207699036068,130.34596945963645,1010547,125.78125514302353,126.06580738299971,2.268360652128108,125.78125514302353,4.564714316612921,2.43728998106576,3548,4.455663161765322,Positive,Merger,129.44186327188174
Tech,2024-04-02,128.95897195544975,130.03796768916064,127.55036386742988,129.44186327188174,2399433,126.23381695061558,126.67963572643279,2.5146863776344874,126.23381695061558,3.208046321266167,-0.9041061877547065,3169,78.4441542070729,Negative,Earnings,129.28653897868622
Finance,2024-04-03,129.0172521420379,129.49726882318794,128.6606998826286,129.28653897868622,2029293,126.72450037254282,127.15361813593341,2.5902918273667637,126.72450037254282,2.5620386061434033,-0.15532429319551966,3940,67.87132362153538,Neutral,Product Launch,129.0023226724219
Health,2024-04-04,128.7689432664462,130.5659703991118,127.2853097633188,129.0023226724219,4410331,127.29846088442225,127.48974623347678,2.3640063266231475,127.29846088442225,1.7038617879996565,-0.2842163062643124,2367,47.28044641127247,Positive,Other,126.57529277615767
Retail,2024-04-05,125.83380056016645,127.8635912191095,126.31191896928526,126.57529277615767,2994848,127.68006981539217,127.32348196850965,1.7875679833269524,127.68006981539217,-1.1047770392345058,-2.4270298962642443,2064,89.97596153682575,Positive,Product Launch,127.66753333028682
Tech,2024-04-06,127.25869213198425,127.7639053550734,126.25745151757963,127.66753333028682,1063146,127.93782237823459,127.38603676156004,1.5414987378860927,127.93782237823459,-0.2702890479477702,1.0922405541291482,2753,33.615966498509884,Neutral,Product Launch,128.6896438746466
Energy,2024-04-07,128.12272869624343,129.40974480644857,127.20568841561864,128.6896438746466,4511449,128.18203577358105,127.62305623666668,1.433629533948069,128.18203577358105,0.5076081010655571,1.0221105443597907,3543,29.43217442312359,Neutral,Merger,129.19987078793153
Energy,2024-04-08,128.99363128198758,131.1134704189001,127.84442430552889,129.19987078793153,3016950,128.53322390100942,127.9097497914421,1.1585447349900502,128.53322390100942,0.6666468869221092,0.5102269132849244,4035,87.27963250794429,Positive,Merger,129.23069652118122
Finance,2024-04-09,128.86134777201644,130.23149881260161,128.72606704891092,129.23069652118122,3729201,128.73484111514009,128.14992192412194,1.0760544051336918,128.73484111514009,0.4958554060411302,0.030825733249685072,4863,79.69876547589855,Neutral,Other,126.89995503708039
Finance,2024-04-10,126.08645257664702,127.7654133091198,125.15386874304998,126.89995503708039,2414447,128.63396867099107,127.9226552173871,1.2020144718624493,128.63396867099107,-1.7340136339106778,-2.3307414841008267,3876,51.49798106483448,Negative,Merger,126.55866439154968
Health,2024-04-11,127.56995950683442,127.47406360186827,126.22094746480889,126.55866439154968,4458332,128.25523816418237,127.67465688541665,1.1993110197651127,128.25523816418237,-1.6965737726326893,-0.3412906455307052,3578,13.073473945784997,Negative,Product Launch,126.37323535849615
Retail,2024-04-12,126.99950572401076,126.79100080650647,126.26596577545449,126.37323535849615,3180122,127.94837537284384,127.43803478961291,1.253321364591677,127.94837537284384,-1.5751400143476957,-0.18542903305353775,2755,21.507147146505247,Negative,Earnings,125.26868082005291
Energy,2024-04-13,124.87917110929291,126.0060951617825,123.83375083882908,125.26868082005291,1716177,127.54658955698048,127.04360679514745,1.4107953874969401,127.54658955698048,-2.2779087369275715,-1.1045545384432387,4228,65.62279904088066,Positive,Other,125.44610939672089
Energy,2024-04-14,125.58232009504769,126.18573590869524,124.49515796625542,125.44610939672089,2217895,127.1909682294104,126.75315272270625,1.4507195663787673,127.1909682294104,-1.7448588326895162,0.17742857666797818,3524,38.50412378404117,Neutral,Earnings,126.75421111034996
Retail,2024-04-15,126.9629436552606,126.8589211507249,125.05601507043261,126.75421111034996,3636859,127.2088600628296,126.75334515682327,1.4433673853854092,127.2088600628296,-0.4546489524796442,1.3081017136290711,2596,83.64731916659713,Negative,Product Launch,131.026582912771
Retail,2024-04-16,131.62212584015774,132.56171816980685,130.2597886306545,131.026582912771,4115209,127.54476502107805,127.53029747608649,1.8852082073540313,127.54476502107805,3.4818178916929554,4.272371802421048,4834,94.99550093322041,Neutral,Other,131.8757385384347
Tech,2024-04-17,131.46643602510466,132.70874740224244,131.53918136141925,131.8757385384347,1559865,127.86337448745685,128.32037766924068,2.3194241134794504,127.86337448745685,4.012364050977837,0.8491556256636841,4674,80.56369252749182,Negative,Earnings,132.89083931988023
Health,2024-04-18,133.43689271187145,134.53519909351309,131.21795493494048,132.89083931988023,2051497,128.2324713406517,129.15137069662967,2.7996906450812133,128.2324713406517,4.6583679792285295,1.0151007814455397,3834,37.754542299555716,Neutral,Other,133.24194748834788
Retail,2024-04-19,132.9679948362444,134.94264349058767,132.14412822506773,133.24194748834788,4019332,128.63359643736837,129.89511193148752,3.21513424127087,128.63359643736837,4.608351050979508,0.3511081684676469,4663,78.8686429231424,Negative,Product Launch,129.9044050577498
Retail,2024-04-20,129.2364738556655,130.32839316714714,129.5260134729691,129.9044050577498,1479177,128.9340414394353,129.89680159080794,3.1752613848085205,128.9340414394353,0.9703636183145079,-3.337542430598063,3395,35.14416734706835,Negative,Other,130.35137730685136
Health,2024-04-21,130.7134455865086,131.6660842711916,128.91060930967848,130.35137730685136,4115377,129.3133127309655,129.97945172099764,3.0852430387312677,129.3133127309655,1.038064575885869,0.44697224910154887,3586,16.71000877656339,Negative,Product Launch,130.97183772673344
Tech,2024-04-22,131.61721693879466,131.9164013350594,129.94961044975443,130.97183772673344,2491476,129.7731729677892,130.15988554022232,2.9375056936819144,129.7731729677892,1.1986647589442327,0.6204604198820789,2111,3.3393204865857395,Negative,Other,136.398321951704
Health,2024-04-23,137.69227643846932,138.15863542754695,135.18969598722336,136.398321951704,3241687,130.8861370809543,131.29414670594625,3.142463925044204,130.8861370809543,5.512184870749678,5.426484224970551,2452,38.571671276102,Negative,Other,136.51360002214176
Tech,2024-04-24,135.91373738959666,136.94508138049466,135.5918033457286,136.51360002214176,1521317,131.9928861434964,132.2431382179818,2.9571235790633508,131.9928861434964,4.520713878645353,0.11527807043776761,4803,90.35593036972818,Negative,Merger,137.61669470680897
Energy,2024-04-25,137.96615454934937,138.97232110742905,135.95927673917296,137.61669470680897,4826562,133.0791345031423,133.22014848867764,2.8104046846240953,133.0791345031423,4.537560203666658,1.1030946846672123,4631,23.89865877556765,Negative,Product Launch,138.0472711673985
Retail,2024-04-26,137.84237054550172,139.26277541190393,136.38814573603239,138.0472711673985,4973095,133.78120332860505,134.09780715753595,3.102432342335749,133.78120332860505,4.266067838793447,0.4305764605895206,4186,20.6513164929784,Negative,Regulation,136.20991509215943
Health,2024-04-27,136.60159444742146,136.8005180473031,134.79113744851065,136.20991509215943,3746974,134.21462098397754,134.48182678201294,3.109396405751455,134.21462098397754,1.995294108181895,-1.8373560752390574,3871,96.98207852410403,Negative,Other,138.99556072118946
Finance,2024-04-28,138.26031594557384,139.2687625284918,138.78475796639654,138.99556072118946,2508797,134.82509312410846,135.30250568004504,3.4057686130510345,134.82509312410846,4.170467597081,2.7856456290300287,4278,2.500411285059212,Neutral,Earnings,140.99942678656302
